"","x"
"SCGB1A1",3.02948783076413
"BMP3",3.73665839373658
"SULT1E1",1.38213115073577
"HSPB3",0.131165432682913
"ALOX12B",0.731140278137867
"NOS1",2.74401080269748
"CXCL11",3.18160606550917
"GPC3",1.06215779515168
"GABRB3",2.15018424688841
"SPRR2D",0.0264029635556824
"CNGB1",3.87045484606212
"SCN2A",0.568517073268345
"GAL",1.13629255835557
"SPOCK3",1.60660418083057
"FLG",1.34148242523599
"CR2",0.336819705097959
"TFPI2",0.844106115013882
"KRT7",2.06949955390602
"PSG4",0.266029332881414
"PIP",5.21049613478219
"CD177",0.635573867664712
"CDKN2B",0.306308660427442
"CNTN1",0.569359024392916
"MMP3",4.21672001331641
"NOS2",0.0526444940173585
"ADNP",0.34433334950666
"AEBP2",0.375732456232982
"AFF1",0.326411450384493
"AFF4",0.249556777449975
"AHR",0.765575974397721
"AHRR",0.490211826816688
"AIRE",0.400038307967677
"ALX1",1.44568056485891
"ALX4",0.379208595776839
"ANKZF1",0.701720052703865
"AR",2.67545159401079
"ARID1A",0.246007417144656
"ARID1B",0.13031289173477
"ARID2",0.206317388279215
"ARID3A",1.1115369995368
"ARID3B",0.584393731049621
"ARID4A",0.0820474717186288
"ARID5A",0.504967879762253
"ARNT",0.159495937775413
"ARNT2",0.00810425580956542
"ARNTL",0.875676354928006
"ARNTL2",0.785027764521145
"ASCL1",0.290918525409642
"ASCL2",1.15034264680975
"ASH1L",0.0881099554839269
"ASH2L",0.203251005506266
"ATF1",0.220335886170289
"ATF2",0.362268160804374
"ATF3",0.446112366090627
"ATF4",0.10553878017634
"ATF5",0.819905182712333
"ATF6",0.101381596578588
"ATF6B",0.406463053293241
"ATF7",0.0272586148877982
"ATOH1",0.214209608912516
"ATRX",0.00258698124543955
"ATXN7",0.236657002383101
"BACH1",0.28196787429018
"BACH2",0.147010595503278
"BARX1",1.36291819172118
"BARX2",2.70771368470837
"BATF",0.53927844611509
"BATF3",0.937879197262676
"BCL11A",0.187439699373841
"BCL11B",0.860735689527338
"BCL3",0.0897019544618729
"BCL6",0.174754738985859
"BCL6B",0.908881788764581
"BCLAF1",0.0543175695767459
"BHLHE40",0.504080767233223
"BHLHE41",0.0186132244841057
"BMP2",1.06273123501442
"BNC2",0.851551646287275
"BPTF",0.105447117183529
"BRCA1",1.33879386433722
"CARHSP1",0.35288403792884
"CBFB",0.561177225783146
"CDC5L",0.30023545004597
"CDX1",2.59384853706633
"CDX2",1.44272963714661
"CEBPA",0.0629446361892878
"CEBPB",0.764370226981917
"CEBPD",0.135961787450166
"CEBPE",2.23927623676198
"CEBPG",0.375859198605885
"CEBPZ",0.282502758917986
"CENPT",0.724373608890564
"CIC",0.465760016619696
"CIZ1",0.455969054558057
"CLOCK",0.524975572587998
"CNOT4",0.13972065961741
"CREB1",0.343057153829786
"CREB3",0.493917377080172
"CREB3L1",0.178068147889546
"CREB3L3",0.979336012326784
"CREB3L4",0.377551262056555
"CREB5",0.198427221829073
"CREBBP",0.279569261781325
"CREBZF",0.691893403793567
"CREM",0.291713105603452
"CRX",0.594785688369524
"CTCF",0.296601662546577
"CUX1",0.219709903631299
"CUX2",0.28008035881001
"CXXC1",0.312069696223049
"DACH1",0.826290424091052
"DBP",0.0590684820743688
"DDB2",0.272667059274261
"DDIT3",1.1755295534548
"DEAF1",0.348998841054067
"DLX1",3.16171105369154
"DLX2",2.72307921762658
"DLX3",0.585351614087556
"DLX4",1.44162250505621
"DLX5",1.73500283019032
"DMAP1",0.235470574593203
"DMRTB1",0.213945338610278
"DMTF1",0.797771695186535
"DNAJC1",0.109308769988382
"DNMT1",1.21801418452532
"DNMT3A",0.590697784148267
"DNMT3B",2.41339566639207
"DNMT3L",0.589908910632388
"DPF1",3.62669798007247
"DPF2",0.600850280487646
"DR1",0.386662196265346
"DRAP1",0.75625469645618
"E2F1",2.12493158149676
"E2F2",0.661280445678447
"E2F3",0.922220127532753
"E2F4",0.722777386849927
"E2F5",0.0126651754116978
"E2F6",0.559461913159301
"E4F1",0.589203918422097
"EBF1",0.159095854718657
"EGR1",1.43750450425204
"EGR2",0.427071627652913
"EGR4",0.576226036852046
"EHF",1.94590117858139
"ELF1",0.157234290208243
"ELF2",0.0365786023201435
"ELF3",1.38053455641645
"ELF4",1.43097908199048
"ELF5",3.06678470913573
"ELK1",0.417451922372261
"ELK3",0.235445835433452
"ELK4",0.614691538170784
"EMX2",0.345251889376248
"EN1",4.4590810251998
"EN2",3.03103447047664
"ENO1",0.813028425009213
"EOMES",1.1797814321735
"EPAS1",0.192745119117202
"ERF",1.09943474032664
"ERG",0.508455337244517
"ESR1",0.264078371255939
"ESR2",0.956861078295497
"ESRRA",0.243591007223469
"ESRRB",0.969058186782435
"ESRRG",3.46910976009346
"ETS1",1.10091759224781
"ETS2",0.175239298375226
"ETV1",0.687971567997017
"ETV3",0.308622964717387
"ETV4",0.99386920532385
"ETV5",0.748820929506757
"ETV6",0.199997534343511
"EZH1",0.251350607485316
"EZH2",1.10686281815094
"FIZ1",0.359234720211657
"FLI1",0.274070938528226
"FOS",1.6869003443597
"FOSB",1.71540177707885
"FOSL1",0.949779592858373
"FOSL2",0.0711743822291719
"FOXA1",2.28321193634513
"FOXA2",1.02475874907815
"FOXA3",0.164308612573918
"FOXC1",0.36763225621692
"FOXD3",1.0513396931861
"FOXE1",1.50428913894156
"FOXF2",2.01087270351068
"FOXG1",0.66220309053731
"FOXH1",1.52003027792499
"FOXJ3",0.240045139843292
"FOXK2",0.684788609085382
"FOXL1",2.46875973782483
"FOXL2",3.32096164451641
"FOXM1",2.45433700022776
"FOXN3",0.293072542130598
"FOXO1",0.143961323718376
"FOXO3",0.072059133692254
"FOXO4",0.889130607493134
"FOXP1",0.321868270650989
"FOXP2",1.2199868852289
"FOXP3",1.85901895409635
"FOXP4",0.521773872674928
"FOXS1",2.39166974263306
"FUBP1",0.603337813482334
"FUBP3",0.570958537075853
"GABPA",0.0334854469902446
"GABPB1",0.753977040873517
"GATA1",0.235214699200203
"GATA2",0.675775803929059
"GATA3",0.608655467414218
"GATA4",1.63623293398092
"GATA5",0.444343727740451
"GATA6",0.774438661263475
"GATAD2A",0.570270036047864
"GATAD2B",0.445774514163155
"GCM1",0.483752676113286
"GFI1",1.88787672587639
"GFI1B",0.411279520317779
"GLI1",1.17862615886089
"GLI2",0.671047098584858
"GLI3",0.947656431579135
"GMEB1",0.421509575596738
"GMEB2",0.632283868837932
"GSC",0.861523310873538
"GTF2I",0.0233842104111686
"GTF3A",0.0918647939031798
"HAND1",0.592351554799213
"HAND2",0.516980601817299
"HBP1",0.297735714126709
"HES1",0.201893982212875
"HES6",1.07573122325081
"HESX1",0.121345297691194
"HEY1",1.13796274419027
"HEY2",0.000893343918439093
"HEYL",1.737753162417
"HHEX",0.483075263665199
"HIC1",0.988303834990404
"HIC2",0.270054987929523
"HIF1A",0.93085716309746
"HIF3A",1.85785650048255
"HIVEP1",0.182966192284555
"HIVEP2",0.0597191873677101
"HIVEP3",0.148804001140376
"HLF",3.00028039644318
"HLTF",1.23884478578007
"HMG20A",0.296977494947736
"HMG20B",0.646698276377774
"HMGA1",0.904240336073715
"HMGA2",4.64954328042193
"HMGXB3",0.73000128911382
"HMGXB4",0.523979193606742
"HNF1A",0.659170725158329
"HNF1B",0.0855568177327815
"HNF4A",1.05313537932768
"HNF4G",0.231913009863798
"HOPX",2.54747306632274
"HOXA1",2.81344284401268
"HOXA10",4.53376067347235
"HOXA11",4.20305316500337
"HOXA13",2.96569419323365
"HOXA2",0.105637233640076
