V1,V2
HOXD13,2
MLXIP,2
MLXIPL,2
MXD4,2
NFKBIA,2
PPARA,2
SIM2,2
SP110,2
TFAM,2
ZNF202,2
MPPED1,1
AFF4,1
ALX1,1
DNMT1,1
FOXD3,1
HNF4G,1
HOXA13,1
IFI16,1
NPAS2,1
PBRM1,1
RFX5,1
RFX6,1
SPDEF,1
STAT1,1
STAT5A,1
XBP1,1
ZBTB33,1
ZNF423,1
ZNF580,1
