V1,V2
WIZ,3
ZNF579,3
AFF4,2
ESRRA,2
ETV1,2
HIVEP1,2
HMGA2,2
KIAA1549,2
KLF11,2
KLF13,2
KLF4,2
MLXIP,2
MXD4,2
NEUROG1,2
NONO,2
ONECUT1,2
TCF7L2,2
ZBTB44,2
ZNF622,2
CTNND2,1
DKK1,1
CENPT,1
E4F1,1
FOXD3,1
FOXM1,1
HOXC4,1
LYL1,1
MLXIPL,1
MTF2,1
NCOA5,1
NPAS2,1
PBRM1,1
SNAI1,1
SPDEF,1
TFAM,1
ZBTB33,1
ZNF423,1
ZNF639,1
