"","x"
"CHGB",0.926440228530375
"CR2",0.972422130342204
"S100A8",0.410388925375019
"CCL21",3.78804038060841
"PLA2G2A",2.48267300857891
"DLK1",4.90592855109387
"ROBO2",0.305691872140215
"MMP1",5.55824212998344
"CCL19",0.184856584124027
"FGG",0.601467514187771
"CXCL13",2.02632279725667
"PEG10",1.39697435539984
"DSC3",3.4650578655878
"PTPRZ1",4.72401279745736
"ALB",4.74960732615515
"COL17A1",4.81330452153774
"S100P",5.09318074941527
"EDN3",5.17381764875061
"MS4A1",0.0561549055206836
"SERPINA5",0.709226534768686
"GPR26",0.0549783756288993
"SFRP1",4.86783627410921
"TMPRSS6",1.432763270262
"DCX",2.78630235225632
"CHGA",1.3816424500696
"SYT1",0.215157494131616
"GPD1",5.97036223345873
"GABRB3",1.63544652450527
"GRB14",0.615848751123811
"GJB1",1.78834378445707
"NPY5R",3.38257193006452
"MAGEA1",1.48983932500766
"DARC",3.65282864264665
"SOSTDC1",4.39483491738241
"KRT15",3.49210765177992
"RIMS2",0.0920624907527323
"VIPR2",1.68642336156471
"MAPK4",3.08701208684854
"FGFBP1",4.71244799133187
"SAA1",4.66785592837256
"F7",1.5610335445861
"AFP",3.45709269664753
"AGTR1",2.32825328015012
"MMP13",6.22899375508688
"FGF10",3.09510043762367
"CD177",1.95909953684039
"DKK1",0.068345382003382
"TNNI3",2.24046574772907
"SLPI",2.4338543839083
"HP",1.98716507512588
"TF",4.51302319600261
"TRIM29",3.31396144006544
"ADNP",0.130502012469668
"AEBP2",0.606305750827421
"AFF1",0.873324733170103
"AFF4",0.434329622142171
"AHR",1.17704995333107
"AHRR",0.587848921952363
"AIRE",0.104809402831245
"ALX1",1.01219753933677
"ALX4",3.31556765221703
"ANKZF1",0.00226905376510178
"AR",1.0783388641023
"ARID1A",0.00656271860771529
"ARID1B",0.522847042934549
"ARID2",0.135844303547167
"ARID3A",0.785502551347752
"ARID3B",0.119017166213209
"ARID4A",0.965154421604714
"ARID5A",1.32248478611591
"ARNT",0.428594641040061
"ARNT2",1.16323392652046
"ARNTL",0.287555168334052
"ARNTL2",0.211047269639836
"ASCL1",1.78563533861511
"ASCL2",1.5636556190942
"ASH1L",0.512209485523254
"ASH2L",0.109406143576505
"ATF1",0.353825730752489
"ATF2",0.612573215837814
"ATF3",2.42324265357638
"ATF4",0.174869855025259
"ATF5",0.711694870659578
"ATF6",0.035809130987543
"ATF6B",0.442181383179458
"ATF7",0.894193343905453
"ATOH1",0.00168830758025518
"ATRX",0.683494994162689
"ATXN7",0.675852580212598
"BACH1",0.652494013039526
"BACH2",2.01118016954997
"BARX1",0.650441685431814
"BARX2",1.51253993000359
"BATF",1.21181652697955
"BATF3",0.108314508023972
"BCL11A",2.11869278492753
"BCL11B",0.687089461262575
"BCL3",0.965290467663849
"BCL6",1.32513502727672
"BCL6B",0.795617802863059
"BCLAF1",0.433151035052421
"BHLHE40",0.154298169197761
"BHLHE41",1.70702853463602
"BMP2",2.55708631768203
"BNC2",0.734202518018066
"BPTF",0.406861533224812
"BRCA1",0.671484639739718
"CARHSP1",0.17498427104887
"CBFB",0.137829782707207
"CDC5L",0.0773770694909786
"CDX1",0.684019270958317
"CDX2",0.132965342732863
"CEBPA",1.52290866442889
"CEBPB",0.255466728250139
"CEBPD",0.643423893053381
"CEBPE",0.840293700352418
"CEBPG",0.0399146665560703
"CEBPZ",0.18481625089999
"CENPT",0.297809588841555
"CIC",0.0993657487652522
"CIZ1",0.177147718675059
"CLOCK",0.503042855248731
"CNOT4",0.241852334962265
"CREB1",0.522508982793354
"CREB3",0.408231558843112
"CREB3L1",1.87844719728938
"CREB3L3",0.565611924297243
"CREB3L4",1.29815541637303
"CREB5",2.36976554593134
"CREBBP",0.354026051025447
"CREBZF",0.151588199808012
"CREM",0.0342435031677146
"CRX",0.098298649254609
"CTCF",0.133654856168898
"CUX1",0.210914515516262
"CUX2",2.34098909238986
"CXXC1",0.0999039120736853
"DACH1",0.769667547951622
"DBP",0.0315061055416357
"DDB2",0.472791528652346
"DDIT3",0.00759802170905299
"DEAF1",0.197230537919325
"DLX1",0.275360385088162
"DLX2",0.750071319328522
"DLX3",0.696965861593663
"DLX4",1.1992405608762
"DLX5",1.21856965950546
"DMAP1",0.0299123009635469
"DMRTB1",0.0335407359782272
"DMTF1",0.374264616959126
"DNAJC1",1.07996207959573
"DNMT1",0.809688951863777
"DNMT3A",0.799247639784038
"DNMT3B",1.02839824670645
"DNMT3L",0.0363917586238731
"DPF1",1.03214193365483
"DPF2",0.0442316206890752
"DR1",0.0010864999771254
"DRAP1",1.11838962123704
"E2F1",2.45623136478681
"E2F2",2.12283163538394
"E2F3",0.585227098113864
"E2F4",0.0554092133214645
"E2F5",0.854243194153335
"E2F6",0.0320841479046461
"E4F1",0.959147228070253
"EBF1",2.96649714150526
"EGR1",2.94421704440724
"EGR2",2.51316339393682
"EGR4",0.287848439320531
"EHF",1.89276919755564
"ELF1",0.407830271860382
"ELF2",0.435694598111376
"ELF3",0.385174268569696
"ELF4",0.239779770035363
"ELF5",3.98346973610327
"ELK1",0.441213858048639
"ELK3",0.99069945229163
"ELK4",0.369558682012172
"EMX2",1.45338491543174
"EN1",0.282960377794879
"EN2",0.550297295178642
"ENO1",0.101057778804359
"EOMES",0.286080940760693
"EPAS1",1.86677292304144
"ERF",0.188777177345787
"ERG",1.81593477221955
"ESR1",0.0217893897401158
"ESR2",1.89729557657668
"ESRRA",0.278143638554229
"ESRRB",1.02001439469204
"ESRRG",0.896135171681294
"ETS1",1.02314032068891
"ETS2",1.42772759345408
"ETV1",1.58679863727442
"ETV3",0.798104002853787
"ETV4",0.284988886393241
"ETV5",1.47868644557253
"ETV6",0.499672054063515
"EZH1",1.38769930406245
"EZH2",2.05913170352282
"FIZ1",0.400255846223273
"FLI1",1.29747841156658
"FOS",2.69568790227977
"FOSB",4.07327856168334
"FOSL1",0.747302107369733
