V1,V2
SIM2,5
TFAP2C,5
HOXD13,4
KLF4,4
MLXIP,4
NKX3-1,4
PBRM1,4
RFX6,4
SNAPC4,4
TCF20,4
ZBTB44,4
ZNF579,4
GATAD2A,3
GSC,3
HIVEP1,3
MGA,3
NEUROG1,3
RUNX3,3
TEAD3,3
TFAM,3
ZNF384,3
DLK1,2
SYT1,2
CUX1,2
E4F1,2
FOXM1,2
NONO,2
SP2,2
SPDEF,2
XBP1,2
ZNF202,2
MMP1,1
CCL19,1
DKK1,1
AFF4,1
ALX1,1
ASH1L,1
ATXN7,1
DNMT1,1
E2F5,1
FOXF2,1
GLI1,1
GMEB2,1
HOXA11,1
MLLT4,1
MTF2,1
MXD4,1
NCOA5,1
NFKBIA,1
NFKBIZ,1
SNAI1,1
STAT6,1
ZNF521,1
ZNF622,1
ZNF639,1
